CLIENTNUM,Attrition_Flag,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,age_range,months_on_book_range,Credit_Limit_range,Avg_Open_To_Buy_range,Total_Amt_Chng_Q4_Q1_range,Total_Trans_Amtrange,Total_Ct_Chng_Q4_Q1_range,Avg_Utilization_Ratio_range,Total_Revolving_Bal_range,Total_Trans_Ct_range,Prediction
816082233,Existing Customer,Male,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,30-39,19-32,4549.0-11067.5,3474.0-9859.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.176-0.503,1276.0-1784.0,9.999-45.0,Existing Customer
712396908,Existing Customer,Female,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,50-59,32-48,1438.299-2555.0,1324.5-3474.0,0.859-3.397,509.999-2155.5,0.582-0.702,0.176-0.503,359.0-1276.0,9.999-45.0,Existing Customer
714885258,Existing Customer,Male,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,40-49,32-48,2555.0-4549.0,1324.5-3474.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.176-0.503,359.0-1276.0,9.999-45.0,Existing Customer
709967358,Existing Customer,Male,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,40-49,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.023-0.176,1784.0-2517.0,9.999-45.0,Existing Customer
753327333,Existing Customer,Male,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,40-49,32-48,11067.5-34516.0,9859.0-34516.0,0.631-0.736,509.999-2155.5,0.818-3.714,0.023-0.176,1276.0-1784.0,9.999-45.0,Existing Customer
806160108,Existing Customer,Male,1,High School,Married,$40K - $60K,Blue,56,2,2,3,65+,49-72,2555.0-4549.0,2.999-1324.5,0.859-3.397,509.999-2155.5,0.818-3.714,0.503-0.999,1784.0-2517.0,9.999-45.0,Existing Customer
709327383,Existing Customer,Female,2,Graduate,Married,Unknown,Blue,37,6,1,2,40-49,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.023-0.176,359.0-1276.0,9.999-45.0,Existing Customer
806165208,Existing Customer,Male,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,40-49,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.023-0.176,1784.0-2517.0,9.999-45.0,Existing Customer
708508758,Attrited Customer,Female,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,65+,49-72,1438.299-2555.0,1324.5-3474.0,0.859-3.397,509.999-2155.5,0.582-0.702,-0.001-0.023,-0.001-359.0,9.999-45.0,Attrited Customer
784725333,Existing Customer,Male,3,High School,Married,$40K - $60K,Blue,33,4,2,1,40-49,32-48,2555.0-4549.0,3474.0-9859.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.023-0.176,359.0-1276.0,9.999-45.0,Existing Customer
811604133,Existing Customer,Female,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,40-49,32-48,1438.299-2555.0,2.999-1324.5,-0.001-0.631,509.999-2155.5,-0.001-0.582,0.503-0.999,1276.0-1784.0,9.999-45.0,Attrited Customer
789124683,Existing Customer,Male,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,50-59,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.702-0.818,-0.001-0.023,-0.001-359.0,9.999-45.0,Attrited Customer
771071958,Existing Customer,Female,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,40-49,19-32,4549.0-11067.5,3474.0-9859.0,0.736-0.859,509.999-2155.5,0.818-3.714,0.176-0.503,1276.0-1784.0,9.999-45.0,Existing Customer
720466383,Existing Customer,Male,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,50-59,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.023-0.176,1276.0-1784.0,9.999-45.0,Existing Customer
804424383,Existing Customer,Male,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,65+,49-72,4549.0-11067.5,3474.0-9859.0,0.736-0.859,509.999-2155.5,0.818-3.714,0.023-0.176,359.0-1276.0,9.999-45.0,Existing Customer
718813833,Existing Customer,Female,3,Uneducated,Single,Unknown,Blue,34,5,2,2,40-49,32-48,4549.0-11067.5,9859.0-34516.0,-0.001-0.631,509.999-2155.5,0.818-3.714,-0.001-0.023,-0.001-359.0,9.999-45.0,Existing Customer
806624208,Existing Customer,Male,4,High School,Married,$40K - $60K,Blue,42,6,0,0,40-49,32-48,4549.0-11067.5,1324.5-3474.0,0.736-0.859,509.999-2155.5,0.818-3.714,0.176-0.503,1276.0-1784.0,9.999-45.0,Existing Customer
778348233,Existing Customer,Male,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,50-59,32-48,2555.0-4549.0,2.999-1324.5,0.859-3.397,509.999-2155.5,0.818-3.714,0.503-0.999,1784.0-2517.0,9.999-45.0,Existing Customer
712991808,Existing Customer,Male,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,50-59,32-48,1438.299-2555.0,2.999-1324.5,0.859-3.397,509.999-2155.5,0.818-3.714,0.503-0.999,1276.0-1784.0,9.999-45.0,Existing Customer
709029408,Existing Customer,Male,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,40-49,32-48,4549.0-11067.5,3474.0-9859.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.176-0.503,1784.0-2517.0,9.999-45.0,Existing Customer
788658483,Existing Customer,Female,2,College,Married,Less than $40K,Blue,38,5,2,3,50-59,32-48,2555.0-4549.0,2.999-1324.5,0.859-3.397,509.999-2155.5,0.818-3.714,0.503-0.999,1276.0-1784.0,9.999-45.0,Existing Customer
787937058,Existing Customer,Male,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,50-59,49-72,11067.5-34516.0,9859.0-34516.0,-0.001-0.631,509.999-2155.5,0.702-0.818,0.023-0.176,1276.0-1784.0,9.999-45.0,Existing Customer
715318008,Existing Customer,Female,1,College,Single,Less than $40K,Blue,36,4,2,1,50-59,32-48,2555.0-4549.0,1324.5-3474.0,-0.001-0.631,509.999-2155.5,-0.001-0.582,0.503-0.999,1784.0-2517.0,9.999-45.0,Existing Customer
713962233,Existing Customer,Female,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,50-59,32-48,2555.0-4549.0,2.999-1324.5,0.859-3.397,509.999-2155.5,0.818-3.714,0.503-0.999,1784.0-2517.0,9.999-45.0,Existing Customer
785432733,Existing Customer,Female,4,High School,Married,Less than $40K,Gold,36,2,3,3,40-49,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.818-3.714,-0.001-0.023,-0.001-359.0,9.999-45.0,Attrited Customer
715190283,Existing Customer,Female,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,50-59,49-72,2555.0-4549.0,1324.5-3474.0,0.859-3.397,509.999-2155.5,-0.001-0.582,0.176-0.503,359.0-1276.0,9.999-45.0,Existing Customer
708300483,Attrited Customer,Female,0,Doctorate,Married,Unknown,Blue,56,5,4,3,65+,49-72,4549.0-11067.5,3474.0-9859.0,0.859-3.397,509.999-2155.5,-0.001-0.582,0.023-0.176,359.0-1276.0,9.999-45.0,Attrited Customer
827111283,Existing Customer,Male,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,40-49,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,-0.001-0.582,-0.001-0.023,359.0-1276.0,9.999-45.0,Attrited Customer
758551608,Existing Customer,Male,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,50-59,32-48,4549.0-11067.5,3474.0-9859.0,0.736-0.859,509.999-2155.5,-0.001-0.582,0.176-0.503,1784.0-2517.0,9.999-45.0,Existing Customer
773146383,Existing Customer,Female,1,College,Single,$40K - $60K,Silver,43,3,2,3,50-59,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.023-0.176,1784.0-2517.0,9.999-45.0,Existing Customer
778493808,Existing Customer,Male,3,High School,Married,$60K - $80K,Blue,37,5,2,1,40-49,32-48,2555.0-4549.0,3474.0-9859.0,0.859-3.397,509.999-2155.5,0.818-3.714,-0.001-0.023,-0.001-359.0,9.999-45.0,Existing Customer
720572508,Existing Customer,Female,4,Graduate,Single,Unknown,Blue,28,2,3,3,30-39,19-32,4549.0-11067.5,3474.0-9859.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.176-0.503,1784.0-2517.0,9.999-45.0,Attrited Customer
712661433,Existing Customer,Male,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,40-49,19-32,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.818-3.714,-0.001-0.023,-0.001-359.0,9.999-45.0,Existing Customer
789172683,Existing Customer,Male,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,50-59,32-48,1438.299-2555.0,2.999-1324.5,0.859-3.397,509.999-2155.5,0.582-0.702,0.503-0.999,1276.0-1784.0,9.999-45.0,Existing Customer
738406533,Existing Customer,Male,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,50-59,49-72,1438.299-2555.0,2.999-1324.5,0.859-3.397,509.999-2155.5,0.818-3.714,0.503-0.999,1784.0-2517.0,9.999-45.0,Existing Customer
799723908,Existing Customer,Male,3,High School,Married,$80K - $120K,Blue,40,4,3,3,40-49,32-48,11067.5-34516.0,9859.0-34516.0,0.736-0.859,509.999-2155.5,0.702-0.818,0.023-0.176,1276.0-1784.0,9.999-45.0,Existing Customer
771490833,Existing Customer,Male,1,College,Single,$80K - $120K,Blue,40,5,1,1,50-59,32-48,4549.0-11067.5,3474.0-9859.0,-0.001-0.631,509.999-2155.5,0.582-0.702,0.176-0.503,359.0-1276.0,9.999-45.0,Existing Customer
720756708,Existing Customer,Female,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,50-59,32-48,2555.0-4549.0,2.999-1324.5,0.859-3.397,509.999-2155.5,0.818-3.714,0.503-0.999,1276.0-1784.0,9.999-45.0,Existing Customer
779471883,Attrited Customer,Female,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,50-59,32-48,1438.299-2555.0,2.999-1324.5,0.859-3.397,509.999-2155.5,0.818-3.714,0.503-0.999,359.0-1276.0,9.999-45.0,Attrited Customer
711525033,Existing Customer,Female,0,High School,Married,Less than $40K,Blue,54,3,4,2,65+,49-72,2555.0-4549.0,2.999-1324.5,0.859-3.397,509.999-2155.5,0.818-3.714,0.503-0.999,1784.0-2517.0,9.999-45.0,Existing Customer
712813458,Existing Customer,Male,2,Unknown,Married,$120K +,Blue,36,4,2,0,40-49,32-48,11067.5-34516.0,9859.0-34516.0,0.631-0.736,509.999-2155.5,-0.001-0.582,0.023-0.176,1784.0-2517.0,9.999-45.0,Existing Customer
714374133,Attrited Customer,Male,2,Graduate,Married,$120K +,Blue,36,1,3,3,50-59,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,-0.001-0.582,-0.001-0.023,-0.001-359.0,9.999-45.0,Attrited Customer
717891558,Existing Customer,Female,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,40-49,32-48,2555.0-4549.0,2.999-1324.5,0.631-0.736,509.999-2155.5,0.582-0.702,0.503-0.999,1784.0-2517.0,9.999-45.0,Existing Customer
716632758,Existing Customer,Female,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,40-49,32-48,2555.0-4549.0,2.999-1324.5,0.736-0.859,509.999-2155.5,0.582-0.702,0.503-0.999,1784.0-2517.0,9.999-45.0,Attrited Customer
768563658,Existing Customer,Male,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,50-59,49-72,2555.0-4549.0,1324.5-3474.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.176-0.503,1784.0-2517.0,9.999-45.0,Existing Customer
711427458,Existing Customer,Female,5,Graduate,Married,Unknown,Blue,35,4,1,2,40-49,32-48,4549.0-11067.5,3474.0-9859.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.023-0.176,359.0-1276.0,9.999-45.0,Existing Customer
714091983,Existing Customer,Male,2,High School,Single,$60K - $80K,Blue,34,4,4,3,40-49,32-48,2555.0-4549.0,1324.5-3474.0,0.631-0.736,509.999-2155.5,0.818-3.714,0.503-0.999,1276.0-1784.0,9.999-45.0,Existing Customer
787584108,Existing Customer,Male,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,50-59,32-48,2555.0-4549.0,1324.5-3474.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.503-0.999,1784.0-2517.0,9.999-45.0,Existing Customer
712030833,Attrited Customer,Male,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,40-49,32-48,11067.5-34516.0,9859.0-34516.0,0.736-0.859,509.999-2155.5,-0.001-0.582,-0.001-0.023,-0.001-359.0,9.999-45.0,Attrited Customer
711481533,Existing Customer,Male,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,30-39,32-48,4549.0-11067.5,3474.0-9859.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.176-0.503,359.0-1276.0,9.999-45.0,Existing Customer
710082708,Existing Customer,Male,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,40-49,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.702-0.818,0.023-0.176,1784.0-2517.0,9.999-45.0,Attrited Customer
708155733,Existing Customer,Male,2,High School,Single,$120K +,Blue,44,4,2,2,50-59,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.023-0.176,1276.0-1784.0,9.999-45.0,Existing Customer
788979258,Existing Customer,Male,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,50-59,32-48,11067.5-34516.0,9859.0-34516.0,-0.001-0.631,509.999-2155.5,0.582-0.702,0.023-0.176,1276.0-1784.0,9.999-45.0,Existing Customer
807986133,Existing Customer,Male,2,College,Married,$60K - $80K,Blue,52,5,3,3,50-59,49-72,4549.0-11067.5,3474.0-9859.0,-0.001-0.631,509.999-2155.5,0.582-0.702,0.176-0.503,1784.0-2517.0,9.999-45.0,Existing Customer
788730933,Existing Customer,Female,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,40-49,19-32,1438.299-2555.0,2.999-1324.5,0.859-3.397,509.999-2155.5,-0.001-0.582,0.503-0.999,1276.0-1784.0,9.999-45.0,Existing Customer
711314058,Existing Customer,Male,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,40-49,32-48,1438.299-2555.0,2.999-1324.5,0.859-3.397,509.999-2155.5,0.818-3.714,0.503-0.999,359.0-1276.0,9.999-45.0,Existing Customer
717975333,Existing Customer,Male,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,50-59,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.023-0.176,1276.0-1784.0,9.999-45.0,Existing Customer
715971108,Existing Customer,Male,4,Graduate,Single,$120K +,Blue,42,3,2,3,50-59,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.023-0.176,1276.0-1784.0,9.999-45.0,Existing Customer
720096558,Existing Customer,Female,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,50-59,32-48,1438.299-2555.0,2.999-1324.5,0.736-0.859,509.999-2155.5,-0.001-0.582,0.176-0.503,359.0-1276.0,9.999-45.0,Existing Customer
719580033,Existing Customer,Male,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,50-59,32-48,2555.0-4549.0,2.999-1324.5,0.736-0.859,509.999-2155.5,-0.001-0.582,0.503-0.999,1784.0-2517.0,9.999-45.0,Existing Customer
820582308,Existing Customer,Male,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,40-49,32-48,11067.5-34516.0,9859.0-34516.0,-0.001-0.631,509.999-2155.5,-0.001-0.582,0.023-0.176,1276.0-1784.0,9.999-45.0,Existing Customer
789973308,Existing Customer,Male,1,College,Single,$60K - $80K,Blue,35,3,3,3,40-49,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.023-0.176,1784.0-2517.0,9.999-45.0,Existing Customer
712876233,Existing Customer,Male,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,50-59,32-48,4549.0-11067.5,3474.0-9859.0,0.736-0.859,509.999-2155.5,-0.001-0.582,0.176-0.503,1276.0-1784.0,9.999-45.0,Existing Customer
804595158,Existing Customer,Female,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,40-49,32-48,4549.0-11067.5,3474.0-9859.0,-0.001-0.631,509.999-2155.5,0.818-3.714,0.176-0.503,1784.0-2517.0,9.999-45.0,Existing Customer
714826758,Existing Customer,Female,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,30-39,19-32,4549.0-11067.5,3474.0-9859.0,0.736-0.859,2155.5-3899.0,0.818-3.714,0.176-0.503,1784.0-2517.0,45.0-67.0,Existing Customer
779058108,Existing Customer,Male,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,40-49,19-32,1438.299-2555.0,2.999-1324.5,0.631-0.736,509.999-2155.5,-0.001-0.582,0.503-0.999,1784.0-2517.0,9.999-45.0,Existing Customer
710790258,Existing Customer,Male,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,40-49,32-48,11067.5-34516.0,9859.0-34516.0,0.736-0.859,509.999-2155.5,-0.001-0.582,0.023-0.176,1784.0-2517.0,9.999-45.0,Existing Customer
715623483,Existing Customer,Male,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,40-49,32-48,4549.0-11067.5,3474.0-9859.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.176-0.503,1276.0-1784.0,9.999-45.0,Existing Customer
715156383,Existing Customer,Male,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,40-49,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,-0.001-0.582,0.023-0.176,1276.0-1784.0,9.999-45.0,Existing Customer
711013983,Attrited Customer,Female,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,50-59,32-48,1438.299-2555.0,1324.5-3474.0,-0.001-0.631,509.999-2155.5,0.702-0.818,-0.001-0.023,-0.001-359.0,9.999-45.0,Attrited Customer
755420433,Existing Customer,Female,1,Graduate,Married,Unknown,Blue,52,2,3,3,50-59,49-72,4549.0-11067.5,3474.0-9859.0,-0.001-0.631,509.999-2155.5,0.702-0.818,0.023-0.176,1276.0-1784.0,9.999-45.0,Attrited Customer
794543958,Existing Customer,Male,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,50-59,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.023-0.176,359.0-1276.0,9.999-45.0,Existing Customer
716396358,Existing Customer,Male,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,50-59,32-48,2555.0-4549.0,2.999-1324.5,0.859-3.397,509.999-2155.5,0.582-0.702,0.503-0.999,1784.0-2517.0,9.999-45.0,Existing Customer
715398033,Existing Customer,Male,2,High School,Single,$120K +,Blue,35,4,2,1,50-59,32-48,11067.5-34516.0,9859.0-34516.0,-0.001-0.631,509.999-2155.5,0.702-0.818,0.023-0.176,1784.0-2517.0,9.999-45.0,Existing Customer
711743883,Existing Customer,Female,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,40-49,32-48,2555.0-4549.0,3474.0-9859.0,-0.001-0.631,509.999-2155.5,0.582-0.702,-0.001-0.023,-0.001-359.0,9.999-45.0,Attrited Customer
719720058,Existing Customer,Male,3,High School,Single,$60K - $80K,Blue,31,4,3,1,40-49,19-32,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.023-0.176,359.0-1276.0,9.999-45.0,Existing Customer
778992108,Existing Customer,Male,2,Unknown,Married,$120K +,Blue,45,5,3,3,50-59,32-48,4549.0-11067.5,3474.0-9859.0,0.859-3.397,509.999-2155.5,0.818-3.714,-0.001-0.023,-0.001-359.0,9.999-45.0,Existing Customer
717539808,Existing Customer,Female,2,High School,Single,Less than $40K,Blue,36,3,2,2,50-59,32-48,4549.0-11067.5,9859.0-34516.0,0.631-0.736,509.999-2155.5,0.818-3.714,-0.001-0.023,-0.001-359.0,9.999-45.0,Attrited Customer
714070758,Existing Customer,Male,4,High School,Single,$80K - $120K,Blue,38,4,3,0,40-49,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.023-0.176,1784.0-2517.0,9.999-45.0,Existing Customer
714107958,Existing Customer,Male,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,40-49,32-48,4549.0-11067.5,3474.0-9859.0,-0.001-0.631,509.999-2155.5,0.582-0.702,-0.001-0.023,-0.001-359.0,9.999-45.0,Attrited Customer
789140283,Existing Customer,Male,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,50-59,32-48,2555.0-4549.0,2.999-1324.5,0.736-0.859,509.999-2155.5,0.818-3.714,0.503-0.999,1784.0-2517.0,9.999-45.0,Existing Customer
715550508,Existing Customer,Female,3,Unknown,Married,Unknown,Blue,28,5,1,2,40-49,19-32,1438.299-2555.0,2.999-1324.5,0.859-3.397,509.999-2155.5,0.818-3.714,0.503-0.999,1784.0-2517.0,9.999-45.0,Existing Customer
719712633,Existing Customer,Male,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,65+,49-72,1438.299-2555.0,2.999-1324.5,0.859-3.397,509.999-2155.5,0.818-3.714,0.503-0.999,359.0-1276.0,9.999-45.0,Existing Customer
772629333,Existing Customer,Male,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,40-49,32-48,2555.0-4549.0,1324.5-3474.0,-0.001-0.631,509.999-2155.5,-0.001-0.582,0.176-0.503,359.0-1276.0,9.999-45.0,Existing Customer
720336708,Existing Customer,Male,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,50-59,32-48,2555.0-4549.0,1324.5-3474.0,0.859-3.397,509.999-2155.5,0.582-0.702,0.176-0.503,1276.0-1784.0,9.999-45.0,Existing Customer
802013583,Existing Customer,Male,3,College,Married,$120K +,Blue,50,3,2,0,50-59,49-72,4549.0-11067.5,3474.0-9859.0,-0.001-0.631,509.999-2155.5,0.702-0.818,0.176-0.503,1784.0-2517.0,9.999-45.0,Existing Customer
711887583,Attrited Customer,Male,2,Unknown,Married,$80K - $120K,Blue,37,2,3,3,40-49,32-48,4549.0-11067.5,3474.0-9859.0,0.631-0.736,509.999-2155.5,-0.001-0.582,0.176-0.503,1276.0-1784.0,9.999-45.0,Attrited Customer
714778833,Existing Customer,Female,3,College,Single,Unknown,Blue,43,4,4,0,40-49,32-48,11067.5-34516.0,9859.0-34516.0,-0.001-0.631,509.999-2155.5,0.818-3.714,0.023-0.176,1784.0-2517.0,9.999-45.0,Existing Customer
713843283,Existing Customer,Female,3,Unknown,Married,Unknown,Silver,34,5,3,3,40-49,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.702-0.818,0.023-0.176,1784.0-2517.0,9.999-45.0,Existing Customer
779155158,Existing Customer,Male,3,Graduate,Married,$120K +,Blue,34,6,2,2,50-59,32-48,2555.0-4549.0,1324.5-3474.0,-0.001-0.631,509.999-2155.5,-0.001-0.582,0.176-0.503,359.0-1276.0,9.999-45.0,Existing Customer
721091583,Existing Customer,Female,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,40-49,32-48,2555.0-4549.0,2.999-1324.5,0.736-0.859,509.999-2155.5,0.818-3.714,0.503-0.999,1784.0-2517.0,9.999-45.0,Existing Customer
